data,industry,tag,tag2,tag3,sessionnote
how a product system can help you focus on how to learn learning focus,2,73,55,-1,46
ui for the new york times app newspaper newyork times,0,99,100,-1,54
how we designed our bank account nuconta part ii bank,5,18,-1,-1,80
designing spotify jamroom music spotify,4,95,128,-1,87
"prepare for your next design interview, learn to success business HR",2,28,3,-1,47
shoping mobile   in-depth product information for shoppers mobile shopping,1,88,120,-1,7
foursquare a  about navigation foursquare navigation,9,57,97,-1,23
a new gmail concept gmail email,0,58,45,-1,9
google design exercise faces app for fun and enjoy faces app,4,51,-1,-1,15
my google design exercise pet and animal adoption pet animal,4,104,14,-1,66
" kinder, a kindness cultivating app, increase the mood mood emotions",7,91,46,-1,14
designing a vui   voice user interface voice user interface,8,150,-1,-1,17
artwork personalization at netflix netflix,4,98,-1,-1,64
uiux case my car parking car parking,9,30,-1,-1,3
 helping you find nearby people to run with become more social social,4,124,-1,-1,79
skyscanner choosing the best travel dates tourism,9,138,-1,-1,18
how to enhance mobile interactions with sound design mobile sound,8,88,125,-1,68
introducing a new theatre form theatre,4,134,-1,-1,55
houzz is an online platform for house remodeling and design services it is a house decoration platform decoration,4,110,39,-1,20
redesigning google maps to simplify saving contact locations locations maps google maps,9,75,78,60,77
"mobile first, desktop worst mobile desktop",8,88,40,-1,35
meetup a usability  meetup,0,80,-1,-1,31
gmail an unsolicited redesign 1 gmail email,0,58,45,-1,82
usability test on product hunt for iphone devices usability test iphone,8,147,71,-1,22
finding my way through the amazon navigation amazon,9,97,11,-1,83
redesigning evernote for ios apple ios,8,15,70,-1,67
chatbots your ultimate prototyping tool chatbots,8,32,-1,-1,57
designing facebook for mobile vr virtual reality VR facebook,4,149,6,50,38
"global bank transfers, faster than email, faster money money transfer bank",5,90,142,18,44
did snapchat succeed because of its controversial ui how enjoyable it is snapchat,4,123,-1,-1,69
 identity and design system for a digital currency digital currency,5,41,-1,-1,61
transforming a traditional service focussed fintech company fintech,5,52,-1,-1,84
building version 1 of your fintech app fintech app,5,53,-1,-1,74
a practical use for virtual reality in the modern classroom virtual reality VR,8,149,6,-1,76
building soundcloud for parties soundcloud party,4,126,102,-1,5
designing live for facebook mentions facebook,4,50,-1,-1,33
"media, magazine coverage through data visualization  data visualization",0,0,-1,-1,72
designing an plant health  tracker plant healt tracker,7,108,64,-1,29
let s change the way the world books air travel air travel,9,8,-1,-1,41
designing a new location based app the new foursquare foursquare,9,57,-1,-1,39
amazon prime music music amazon prime,4,95,12,-1,45
 designing a digital learning platform for a local audience learning platform digital platform,2,74,42,-1,30
 mobile app to maintain visitors  interest in museums tourists like museums museums tourists,4,94,139,-1,28
 ux research on helping travel companies cope the pandemic context pandemic,9,101,-1,-1,43
 stickers for better chatting experience new feature for chat applications chat stickers,0,31,129,-1,42
 redesigning bookingcom for greater search experience can  booking win bigger in ux before the revival of travel industry booking,9,23,-1,-1,26
a mental health app for course correcting your negative emotionshairsp hairspa  mental,7,81,-1,-1,62
 learning math online empowering grade 6 12 students to conquer math learning,2,73,-1,-1,52
 how an app can help reduce chronic illness illness,7,67,-1,-1,24
 elevating tiktok s social value through co-watching a ux design project for intro to digital product design at cornell university tiktok digital product,4,136,43,-1,58
" whatsapp s biggest ux failure although whatsapp doesn t need any introduction but still here is some brief about it, whatsapp is a free messaging app available for whatsapp messaging",0,155,85,-1,36
 modernising and expanding a music tracker and social media app lastfm s companion app redesign music,4,95,-1,-1,2
 ux research on airbnb hosting two-part series of analysis and redesigning hosting on airbnb airbnb,9,9,-1,-1,75
 reinterpreting the design of the electronic music events app project overview music events,4,96,-1,-1,0
52 weeks of interaction designhairsp hairspweek 4 the statistical peek peeking through your stats for an expense management app expense cost,5,48,36,-1,12
" myox watch application for students from oxford university a watch application design, created for oxford university s students to help them keep track of their grades, timetable, receive university app productivty",2,146,113,-1,78
 mobile app to help access sustainable food making a mobile application for to help access sustainable food sustainability mobile app,6,131,89,-1,10
 designing  uber for ambulance  the process that shaped the design of an app that allows its users save lives with just a click ambulance saving life,7,13,118,-1,81
 rideon bicycle renting mobile application this is a  for a concept mobile app called rideon which allows users to rent bicycles around them bicycles mobile app,4,19,89,-1,8
 waterstones enters the virtual bookclub market designing a concept virtual bookclub app for waterstones* book,4,22,-1,-1,27
fitbit the ux behind the habit of exercisehairsp hairspa  there are generally three types of people in the world when it comes to exercising sports exercise,7,127,47,-1,1
i designed a new year s resolution app inspired by atomic habits i designed a better way to track healthier habits and achieve goals habit tracker,7,63,-1,-1,11
the mood search an insight timer  finding a meditation can be stressful meditation,7,79,-1,-1,25
redesigning the french train ticket platformhairsp hairspa  the first ux study case of our ux bootcamp train ticket,9,141,135,-1,40
redesigning soundcloud with podcast listeners in mindhairsp hairspa  improving navigation and the surfacing of podcast content in the soundcloud app podcasts,4,111,-1,-1,85
redesigning the ultimate guitar app the ultimate guitar mobile app for music lovers music guitar,4,95,62,-1,56
designing a mental healthcare platformhairsp hairspa  mentalcare,7,83,-1,-1,6
designing an online book club experiencehairsp hairspa  book,2,22,-1,-1,21
redesigning houseparty- a  party,4,102,-1,-1,34
 the creation of an expense tracking app overview expense tracking,8,49,-1,-1,59
mobile payments for the enterprise uxui design and redesign about the project payments mobile app,8,103,89,-1,51
pet depot ecommerce site creating an online shopping experience for family-owned pet shop shopping pets,1,120,105,-1,13
rethinking an application against food waste and pro sustainability sustainability waste,3,131,152,-1,16
the essential guide to enterprise login and sign up ux and ui correct ux of login and sign up process login signup,8,76,121,-1,65
"uxui   ecoai  as responsible residents  of vancouver, bc, we recycle some of us recycle because we take an interest in environmental sustainability sustainability recycle",3,131,115,-1,32
medication disposal uxui design last week we finally finished a uxui project about safe medication disposal the reason we are doing this topic is because i just read a sustainability recycle disposal,7,131,115,44,53
the warming planet visualising the changing global temperatures on earth over the century and associated climate changevisualising the changing global temperatures on earth over the century and associated climate change sustainability,3,131,-1,-1,63
